k,max nDCG,max F-scores
20,0.15498446897120643,0.1637587664939816
40,0.20452089458004633,0.21806018314471232
60,0.22785789543013527,0.2413907810479028
80,0.2483192681999124,0.25781178021152035
100,0.26007875358407867,0.26735620596491316
120,0.4353203289401395,0.3082013935620302
140,0.44407088740601736,0.31173241810678254
160,0.4566047965275177,0.31671460783996924
180,0.46241273993417564,0.3176328096269113
200,0.4718946828074592,0.3193435590535122
220,0.4740725957205403,0.3204595961654746
240,0.48025969647570543,0.3215237354919819
260,0.484157307108169,0.3224117665735718
280,0.48559679601360295,0.32264450439772235
300,0.4908729104997883,0.3233419151794522
320,0.4914940573189055,0.31976007818069063
340,0.4920956789708065,0.32029557045834867
360,0.49388826565877697,0.3190393636295928
380,0.4968143938700775,0.3214952684632065
400,0.49991305967523403,0.3211146198720316
420,0.5001410885227967,0.3198765246339363
440,0.4996504366073619,0.3204969448818075
460,0.49991845652009426,0.31893257229835975
480,0.49899799037088877,0.3177857536848744
500,0.5003950847597723,0.3170319190421509
520,0.5007065569539518,0.31661397935539404
540,0.49867286264327476,0.318048286985385
560,0.49672538008544165,0.31654973862017005
580,0.49851695190922984,0.3201988145528374
600,0.4969706417634779,0.31954597240587757
620,0.49643342355983494,0.31983271075713204
640,0.4991457911222299,0.31796356279143234
660,0.495938187069116,0.3175854338052112
680,0.49681954424957814,0.32009112212760943
700,0.49664314999785447,0.31841394784828464
720,0.49471780827771916,0.31628297131974215
740,0.49240854699353165,0.31480373905103615
760,0.49195612730514604,0.31519512335685174
780,0.49216811541673366,0.31586655432240035
800,0.4910433734204518,0.31618597860052716
820,0.49146186497239813,0.313674756099831
840,0.4915558968789073,0.3131478833624319
860,0.49136073955695636,0.31440937041339256
880,0.48923935667574864,0.3126424784359743
900,0.48904426592222455,0.3124943302878262
920,0.4869461600428429,0.3106785251779034
940,0.4867546186825637,0.31195169968067943
960,0.485032704668929,0.3108923028225209
980,0.487449599903182,0.31218958941392516
1000,0.4858702896065056,0.3106706940219648
1020,0.48593691980286013,0.3108845368240429
1040,0.483687312949034,0.30923804388343235
1060,0.4834405481060644,0.31032881999356715
1080,0.4834469840360325,0.30922014217900695
1100,0.48439814336228304,0.3112970381225696
1120,0.4844422223248451,0.31106515110120886
1140,0.4836125757907862,0.3102459789879191
1160,0.4834491261187314,0.31102935156076533
1180,0.4831481189246053,0.31125593108146254
1200,0.48203688911021375,0.3099327514746916
1220,0.4817251766505876,0.3098447736089361
1240,0.4834641545411538,0.3091984482567283
1260,0.48270565936251886,0.30954011578793833
1280,0.4818191842435661,0.30882666549554066
1300,0.48129689607869436,0.3079418918329892
1320,0.48190618129524687,0.30956118152417433
1340,0.48192638823149614,0.3091525983378134
1360,0.48136540064620714,0.3094638339431666
1380,0.4820437789086033,0.3103761146449211
